,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/1Rr5SrvHxMXHu5RjKpaMba8VTzi.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",7553.322,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,False,8.4,3644
1,False,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,"[16, 35, 10751, 14]",568124,en,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",6932.196,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,2021-11-24,Encanto,False,7.8,2158
2,False,/o76ZDm8PS9791XiuieNB93UZcRV.jpg,"[27, 28, 878]",460458,en,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",6209.456,/sR3iV0Jt080jgvPBtJhs3Tta1y9.jpg,2021-11-24,Resident Evil: Welcome to Raccoon City,False,6.0,724
3,False,/hv7o3VgfsairBoQFAawgaQ4cR1m.jpg,"[12, 28, 878]",624860,en,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",5748.73,/gZlZLxJMfnSeS60abFZMh1IvODQ.jpg,2021-12-16,The Matrix Resurrections,False,7.0,1805
4,False,/vIgyYkXkg6NC2whRbYjBD7eb3Er.jpg,"[878, 28, 12]",580489,en,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",4016.9,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,2021-09-30,Venom: Let There Be Carnage,False,7.2,5593
5,False,/dK12GIdhGP6NPGFssK2Fh265jyr.jpg,"[28, 35, 80, 53]",512195,en,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",3270.836,/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,2021-11-04,Red Notice,False,6.8,2524
6,False,/tutaKitJJIaqZPyMz7rxrhb4Yxm.jpg,"[16, 35, 10751, 10402]",438695,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2270.391,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2021-12-01,Sing 2,False,7.5,148
7,False,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg,"[28, 12, 14]",566525,en,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,2076.621,/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,2021-09-01,Shang-Chi and the Legend of the Ten Rings,False,7.8,4935
8,False,/1BqX34aJS5J8PefVnQSfQIEPfkl.jpg,"[80, 28, 53]",826749,en,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",1706.318,/m76LAg0MchIcIW9i4yXsQPGQJJF.jpg,2021-12-17,Fortress,False,6.4,85
9,False,/EnDlndEvw6Ptpp8HIwmRcSSNKQ.jpg,"[35, 14, 12]",425909,en,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",1868.884,/fQZxAA6PPWa2Lk9NgcO3m6QDlXQ.jpg,2021-11-11,Ghostbusters: Afterlife,False,7.2,558
10,False,/weneJTnAb1IFI94SKcaXzBFmPKH.jpg,"[80, 53, 18, 28]",818192,en,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",1704.001,/etMxKseW67499tUJonLNHXTF538.jpg,2021-11-05,Ida Red,False,5.8,16
11,False,/lyvszvJJqqI8aqBJ70XzdCNoK0y.jpg,"[28, 12, 14, 878]",524434,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",1486.787,/6AdXwFTRTAzggD2QUTt5B7JFGKL.jpg,2021-11-03,Eternals,False,7.1,1600
12,False,/1Wlwnhn5sXUIwlxpJgWszT622PS.jpg,"[16, 35, 10751]",585245,en,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",1490.1,/oifhfVhUcuDjE61V5bS5dfShQrm.jpg,2021-11-10,Clifford the Big Red Dog,False,7.4,818
13,False,/nvxrQQspxmSblCYDtvDAbVFX8Jt.jpg,"[18, 35, 878]",646380,en,Don't Look Up,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,1389.252,/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,2021-12-07,Don't Look Up,False,7.3,2999
14,False,/zlj0zHo67xXoj7hvwGtaKRkSdBV.jpg,"[878, 53, 12]",728526,en,Encounter,"A decorated Marine goes on a rescue mission to save his two young sons from an unhuman threat. As their journey takes them in increasingly dangerous directions, the boys will need to leave their childhoods behind.",1349.457,/tUkY0WxffPZ9PoyC62PIyyUMGnt.jpg,2021-12-03,Encounter,False,6.3,176
15,False,/xGrTm3J0FTafmuQ85vF7ZCw94x6.jpg,"[18, 36, 12]",589761,ru,Чернобыль,The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story.,1221.826,/AmJLuHjxPdIJO6vmymeWADG6jK5.jpg,2021-04-15,Chernobyl: Abyss,False,6.2,254
16,False,/gg2w8QYf6o5elN95RHtikQaVIsc.jpg,"[28, 18, 80]",592508,hi,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",1027.858,/1vuix8r1CJ2M6IldR27Z95hWm7e.jpg,2021-11-05,Sooryavanshi,False,5.6,56
17,False,/srDyClcl2J0L3ZP9tpahwoTcNxj.jpg,"[28, 53, 80]",787310,en,Survive the Game,"When cop David is injured in a drug bust gone wrong, his partner Cal chases the two criminals who shot him. They all land at a remote farm owned by troubled vet Eric, and as Cal and Eric plot their defense, more of the gang arrives - along with a wounded David. Outnumbered, the three heroes must use stealth, smarts, and good shooting to take down the drug-dealing mob.",1571.601,/xF1uc2pEf34X2G41wvZaF5H0V7C.jpg,2021-10-08,Survive the Game,False,5.9,60
18,False,/mFbS5TwN95BcSEfiztdchLgTQ0v.jpg,"[18, 36]",617653,en,The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",1064.742,/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,2021-10-13,The Last Duel,False,7.6,1322
19,False,/5B22eed7ErxFiYAG4Ksb4eLwKNF.jpg,"[16, 10751, 12, 35]",770254,en,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",1056.065,/zNXNRLH5wJprUG6B1olaBTNZOjy.jpg,2021-12-03,Back to the Outback,False,7.8,205
